ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
393	1	2	2	0.000000	307.000000	96.000000	0.000000	0.000000	0	134	0
394	32	1	1	0.000000	65.250000	65.250000	0.000000	0.000000	0	57	0
395	734	0	0	0.000000	59.480926	58.405995	0.000000	0.000000	0	157	0
396	294	0	0	0.000000	56.863946	55.666667	0.000000	0.000000	0	65	0
397	1729	0	1	0.000000	69.072296	67.812030	0.000000	0.000000	0	375	0
398	573	1	1	0.000000	102.404887	97.272251	0.000000	0.000000	0	238	0
399	6	2	2	0.000000	294.333333	191.500000	0.000000	0.000000	0	147	0
400	114	1	1	0.000000	114.938596	112.780702	0.000000	0.000000	0	91	0
401	3	2	2	0.000000	196.000000	196.000000	0.000000	0.000000	0	98	0
402	11	2	2	0.000000	136.000000	113.909091	0.000000	0.000000	0	120	0
403	2334	1	2	0.000000	135.415167	126.528706	0.000000	0.000000	0	1003	0
404	174	2	1	0.000000	192.229885	147.247126	0.000000	0.000000	0	203	0
405	107	1	1	0.000000	140.299065	138.504673	0.000000	0.000000	0	115	0
406	321	2	2	0.000000	187.205607	146.853583	0.000000	0.000000	0	265	0
407	81	1	1	0.000000	131.024691	130.765432	0.000000	0.000000	0	92	0
408	8	2	2	0.000000	291.250000	288.625000	0.000000	0.000000	0	142	0
409	14	1	1	0.000000	137.500000	137.500000	0.000000	0.000000	0	70	0
410	215	1	1	0.000000	221.213953	194.888372	0.000000	0.000000	0	244	0
411	347	2	2	0.000000	253.328530	201.244957	0.000000	0.000000	0	384	0
412	289	2	1	0.000000	236.494810	205.065744	0.000000	0.000000	0	336	0
413	20	1	1	0.000000	84.650000	83.300000	0.000000	0.000000	0	61	0
414	123	2	2	0.000000	250.382114	236.674797	0.000000	0.000000	0	248	0
415	207	1	1	0.000000	159.101449	130.256039	0.000000	0.000000	0	152	0
416	172	1	1	0.000000	139.063953	109.029070	0.000000	0.000000	0	150	0
417	8	2	2	0.000000	298.750000	293.500000	0.000000	0.000000	0	166	0
418	80	1	1	0.000000	124.125000	107.412500	0.000000	0.000000	0	99	0
419	3	2	2	0.000000	224.000000	219.666667	0.000000	0.000000	0	127	0
420	59	1	1	0.000000	141.000000	138.898305	0.000000	0.000000	0	101	0
421	20	2	2	0.000000	284.250000	168.350000	0.000000	0.000000	0	163	0
422	8612	1	0	0.000000	118.005574	111.802833	0.000000	0.000000	0	2938	0
423	29	2	2	0.000000	313.965517	245.551724	0.000000	0.000000	0	179	0
424	75	2	2	0.000000	333.893333	217.973333	0.000000	0.000000	0	158	0
425	21	1	1	0.000000	137.285714	133.333333	0.000000	0.000000	0	53	0
426	21	1	1	0.000000	214.476190	200.619048	0.000000	0.000000	0	108	0
427	9	0	0	0.000000	175.111111	171.888889	0.000000	0.000000	0	104	0
428	1	0	0	0.000000	174.000000	171.000000	0.000000	0.000000	0	87	0
429	22	1	0	0.000000	145.636364	145.636364	0.000000	0.000000	0	66	0
430	9	0	2	0.000000	168.666667	167.666667	0.000000	0.000000	0	128	0
431	1	0	0	0.000000	126.000000	57.000000	0.000000	0.000000	0	30	0
432	2202	1	2	0.000000	495.106267	436.198456	0.000000	0.000000	0	3422	0
433	37	1	1	0.000000	75.945946	75.945946	0.000000	0.000000	0	44	0
434	79075	1	1	0.000000	70.223484	21.397521	0.000000	0.000000	0	15824	0
435	1	0	0	0.000000	145.000000	71.000000	0.000000	0.000000	0	74	0
436	22	2	1	0.000000	368.772727	299.454545	0.000000	0.000000	0	212	0
437	8	1	1	0.000000	285.125000	141.750000	0.000000	0.000000	0	141	0
438	39	2	2	0.000000	325.076923	300.487179	0.000000	0.000000	0	231	0
439	40	1	1	0.000000	67.825000	66.700000	0.000000	0.000000	0	36	0
440	75	2	2	0.000000	278.986667	192.480000	0.000000	0.000000	0	223	0
441	1127	2	2	0.000000	590.861579	455.679681	0.000000	0.000000	0	2150	0
442	2	0	0	0.000000	176.000000	175.000000	0.000000	0.000000	0	83	0
443	10040	1	0	0.000000	75.927092	73.511653	0.000000	0.000000	0	2177	0
444	3	0	0	0.000000	179.000000	177.000000	0.000000	0.000000	0	86	0
445	3031	0	0	0.000000	74.212141	72.796107	0.000000	0.000000	0	753	0
446	387	2	2	0.000000	148.627907	102.633075	0.000000	0.000000	0	251	0
447	398	2	2	0.000000	142.228643	99.376884	0.000000	0.000000	0	249	0
448	76	1	1	0.000000	89.105263	87.092105	0.000000	0.000000	0	58	0
449	462	2	2	0.000000	147.835498	115.935065	0.000000	0.000000	0	287	0
450	83	1	1	0.000000	82.614458	80.843373	0.000000	0.000000	0	59	0
451	21243	1	2	0.000000	78.216495	75.763734	0.000000	0.000000	0	5070	0
452	13	0	0	0.000000	140.615385	139.923077	0.000000	0.000000	0	73	0
453	47	1	1	0.000000	90.787234	90.191489	0.000000	0.000000	0	57	0
454	5	0	2	0.000000	169.800000	169.800000	0.000000	0.000000	0	91	0
455	122	2	0	0.000000	164.762295	134.434426	0.000000	0.000000	0	144	0
456	2	0	0	0.000000	163.000000	162.500000	0.000000	0.000000	0	81	0
457	222	0	0	0.000000	104.905405	97.950450	0.000000	0.000000	0	133	0
458	93	0	0	0.000000	125.247312	88.290323	0.000000	0.000000	0	97	0
459	1596	2	1	0.000000	118.065163	107.550752	0.000000	0.000000	0	626	0
460	26	1	1	0.000000	90.538462	88.961538	0.000000	0.000000	0	57	0
461	5	2	2	0.000000	159.600000	102.800000	0.000000	0.000000	0	87	0
462	30	1	1	0.000000	87.100000	82.433333	0.000000	0.000000	0	65	0
463	372	2	2	0.000000	112.852151	88.274194	0.000000	0.000000	0	216	0
464	192	1	1	0.000000	57.078125	55.895833	0.000000	0.000000	0	74	0
465	71	0	0	0.000000	204.577465	121.873239	0.000000	0.000000	0	126	0
466	630	2	2	0.000000	143.474603	114.788889	0.000000	0.000000	0	343	0
467	132	0	0	0.000000	143.992424	100.287879	0.000000	0.000000	0	124	0
468	363	1	1	0.000000	48.969697	47.663912	0.000000	0.000000	0	119	0
469	435	2	2	0.000000	149.089655	118.406897	0.000000	0.000000	0	261	0
470	48	1	1	0.000000	78.916667	77.708333	0.000000	0.000000	0	57	0
471	862	1	1	0.000000	49.025522	46.585847	0.000000	0.000000	0	226	0
472	21	2	2	0.000000	116.952381	114.428571	0.000000	0.000000	0	67	0
473	57	0	0	0.000000	130.894737	103.982456	0.000000	0.000000	0	88	0
474	1647	1	1	0.000000	87.450516	75.772920	0.000000	0.000000	0	493	0
475	403	2	2	0.000000	208.863524	176.751861	0.000000	0.000000	0	325	0
476	69	1	1	0.000000	139.043478	137.246377	0.000000	0.000000	0	87	0
477	6663	0	1	0.000000	84.837761	82.453700	0.000000	0.000000	0	1587	0
478	1	3	1	0.000000	258.000000	166.000000	0.000000	0.000000	0	125	0
479	1	1	2	0.000000	155.000000	150.000000	0.000000	0.000000	0	78	0
480	1	1	3	0.000000	367.000000	358.000000	0.000000	0.000000	0	181	0
481	1	1	3	0.000000	523.000000	513.000000	0.000000	0.000000	0	259	0
482	21709	1	0	0.000000	69.527615	27.919112	0.000000	0.000000	0	4345	0
483	28	1	1	0.000000	69.892857	69.464286	0.000000	0.000000	0	42	0
484	35	1	2	0.000000	112.342857	109.685714	0.000000	0.000000	0	66	0
485	182	2	2	0.000000	329.445055	209.923077	0.000000	0.000000	0	391	0
486	50	2	2	0.000000	459.900000	280.400000	0.000000	0.000000	0	277	0
487	20	2	1	0.000000	128.200000	127.150000	0.000000	0.000000	0	70	0
488	21	1	1	0.000000	72.380952	71.619048	0.000000	0.000000	0	43	0
489	1	2	2	0.000000	232.000000	230.000000	0.000000	0.000000	0	117	0
490	67	1	0	0.000000	113.328358	110.656716	0.000000	0.000000	0	88	0
491	7	1	2	0.000000	360.571429	355.000000	0.000000	0.000000	0	182	0
492	49	1	1	0.000000	56.142857	54.428571	0.000000	0.000000	0	36	0
493	3	0	0	0.000000	129.666667	128.666667	0.000000	0.000000	0	68	0
494	3	0	0	0.000000	142.000000	53.333333	0.000000	0.000000	0	72	0
495	6	0	0	0.000000	117.500000	116.333333	0.000000	0.000000	0	65	0
496	3	0	0	0.000000	121.333333	120.333333	0.000000	0.000000	0	55	0
497	2	2	0	0.000000	170.000000	167.000000	0.000000	0.000000	0	83	0
498	33	1	1	0.000000	69.787879	68.515152	0.000000	0.000000	0	36	0
499	30	0	2	0.000000	170.500000	90.433333	0.000000	0.000000	0	90	0
500	5	0	0	0.000000	140.600000	140.600000	0.000000	0.000000	0	74	0
501	33	1	1	0.000000	104.000000	103.151515	0.000000	0.000000	0	55	0
502	3	0	0	0.000000	138.333333	135.333333	0.000000	0.000000	0	72	0
503	3	0	0	0.000000	136.666667	135.666667	0.000000	0.000000	0	70	0
504	1	0	0	0.000000	150.000000	148.000000	0.000000	0.000000	0	72	0
505	6	2	0	0.000000	173.666667	172.666667	0.000000	0.000000	0	83	0
506	41	1	1	0.000000	87.658537	87.414634	0.000000	0.000000	0	55	0
507	7	0	2	0.000000	165.000000	163.000000	0.000000	0.000000	0	87	0
508	5	0	0	0.000000	149.000000	148.400000	0.000000	0.000000	0	73	0
509	2	0	0	0.000000	162.500000	160.000000	0.000000	0.000000	0	80	0
510	7040	0	1	0.000000	65.426278	42.062926	0.000000	0.000000	0	1352	0
511	6	0	0	0.000000	115.500000	114.500000	0.000000	0.000000	0	60	0
512	1	0	0	0.000000	183.000000	180.000000	0.000000	0.000000	0	94	0
513	177	1	1	0.000000	165.785311	124.723164	0.000000	0.000000	0	123	0
514	1	2	2	0.000000	198.000000	196.000000	0.000000	0.000000	0	97	0
515	65	2	2	0.000000	138.307692	112.584615	0.000000	0.000000	0	102	0
516	1	1	1	0.000000	42.000000	42.000000	0.000000	0.000000	0	25	0
517	26358	1	0	0.000000	74.693603	72.075802	0.000000	0.000000	0	5548	0
518	1	0	0	0.000000	133.000000	132.000000	0.000000	0.000000	0	69	0
519	20596	1	1	0.000000	123.484803	117.939794	0.000000	0.000000	0	7272	0
520	1	4	1	0.000000	644.000000	636.000000	0.000000	0.000000	0	337	0
521	4	2	1	0.000000	104.500000	104.500000	0.000000	0.000000	0	62	0
522	44	1	1	0.000000	1919.840909	1400.772727	0.000000	0.000000	0	1195	0
523	18	2	2	0.000000	222.611111	138.666667	0.000000	0.000000	0	131	0
524	1401	1	1	0.000000	114.977873	112.291221	0.000000	0.000000	0	511	0
525	1598	2	1	0.000000	122.167084	116.596996	0.000000	0.000000	0	615	0
526	45	2	2	0.000000	133.488889	86.066667	0.000000	0.000000	0	85	0
527	423	1	1	0.000000	112.635934	109.936170	0.000000	0.000000	0	200	0
528	48	2	2	0.000000	235.395833	150.416667	0.000000	0.000000	0	151	0
529	271	1	1	0.000000	151.261993	137.549815	0.000000	0.000000	0	233	0
530	44	2	2	0.000000	223.727273	171.659091	0.000000	0.000000	0	134	0
531	423	1	1	0.000000	137.633570	123.765957	0.000000	0.000000	0	216	0
532	221	2	2	0.000000	221.502262	148.995475	0.000000	0.000000	0	254	0
533	65	1	1	0.000000	94.615385	90.123077	0.000000	0.000000	0	74	0
534	402	2	2	0.000000	245.875622	184.654229	0.000000	0.000000	0	406	0
535	41	1	1	0.000000	129.292683	125.829268	0.000000	0.000000	0	80	0
536	34	2	2	0.000000	271.088235	263.529412	0.000000	0.000000	0	167	0
537	45	1	1	0.000000	128.311111	126.422222	0.000000	0.000000	0	79	0
538	68	2	2	0.000000	248.102941	177.970588	0.000000	0.000000	0	170	0
539	231	2	2	0.000000	177.857143	126.935065	0.000000	0.000000	0	218	0
540	45	1	1	0.000000	73.200000	71.977778	0.000000	0.000000	0	45	0
541	72	1	1	0.000000	107.069444	105.541667	0.000000	0.000000	0	82	0
542	45	2	2	0.000000	240.155556	145.733333	0.000000	0.000000	0	155	0
543	28	1	1	0.000000	89.785714	89.785714	0.000000	0.000000	0	56	0
544	11	2	2	0.000000	240.818182	237.272727	0.000000	0.000000	0	140	0
545	180	1	1	0.000000	78.616667	76.672222	0.000000	0.000000	0	92	0
546	180	1	1	0.000000	165.716667	155.927778	0.000000	0.000000	0	183	0
547	117	1	1	0.000000	159.931624	156.923077	0.000000	0.000000	0	125	0
548	69	2	2	0.000000	254.101449	143.275362	0.000000	0.000000	0	185	0
549	44	1	1	0.000000	121.840909	120.409091	0.000000	0.000000	0	73	0
550	49	2	2	0.000000	249.081633	207.653061	0.000000	0.000000	0	161	0
551	165	1	1	0.000000	133.830303	130.987879	0.000000	0.000000	0	135	0
552	15	2	2	0.000000	349.333333	341.800000	0.000000	0.000000	0	190	0
553	624	1	1	0.000000	146.203526	138.576923	0.000000	0.000000	0	313	0
554	33	2	2	0.000000	261.727273	256.060606	0.000000	0.000000	0	151	0
555	30	1	1	0.000000	116.600000	116.500000	0.000000	0.000000	0	66	0
556	15	2	2	0.000000	1166.000000	1137.066667	0.000000	0.000000	0	620	0
557	4	3	1	0.000000	1013.500000	998.000000	0.000000	0.000000	0	498	0
558	1	3	1	0.000000	341.000000	341.000000	0.000000	0.000000	0	175	0
559	85	1	1	0.000000	890.576471	742.552941	0.000000	0.000000	0	645	0
560	14	1	1	0.000000	964.357143	498.214286	0.000000	0.000000	0	484	0
561	7	2	2	0.000000	1039.000000	558.428571	0.000000	0.000000	0	512	0
562	102	2	2	0.000000	956.382353	705.264706	0.000000	0.000000	0	748	0
563	2367	0	1	0.000000	72.813688	70.367131	0.000000	0.000000	0	500	0
564	1517	1	0	0.000000	116.914305	114.660514	0.000000	0.000000	0	506	0
565	5	1	2	0.000000	278.600000	276.600000	0.000000	0.000000	0	142	0
566	1	1	3	0.000000	515.000000	510.000000	0.000000	0.000000	0	256	0
567	10831	0	0	0.000000	86.072939	83.633644	0.000000	0.000000	0	2602	0
568	49	1	1	0.000000	145.040816	144.551020	0.000000	0.000000	0	93	0
569	1	1	2	0.000000	253.000000	249.000000	0.000000	0.000000	0	124	0
570	4	1	1	0.000000	165.250000	165.250000	0.000000	0.000000	0	87	0
571	1	3	1	0.000000	299.000000	299.000000	0.000000	0.000000	0	154	0
572	6	2	2	0.000000	2401.833333	1571.666667	0.000000	0.000000	0	1157	0
573	4	1	1	0.000000	2226.750000	1892.000000	0.000000	0.000000	0	1080	0
574	36	3	2	0.000000	2339.333333	1720.527778	0.000000	0.000000	0	1557	0
575	96	1	1	0.000000	157.156250	114.770833	0.000000	0.000000	0	87	0
576	250	0	0	0.000000	64.976000	53.016000	0.000000	0.000000	0	116	0
577	6	0	0	0.000000	102.000000	67.166667	0.000000	0.000000	0	58	0
578	19	1	1	0.000000	72.000000	71.000000	0.000000	0.000000	0	41	0
579	4	2	1	0.000000	1499.750000	398.000000	0.000000	0.000000	0	1156	0
580	3	4	1	0.000000	903.666667	409.333333	0.000000	0.000000	0	1134	0
581	1	1	1	0.000000	346.000000	346.000000	0.000000	0.000000	0	168	0
582	1	4	3	0.000000	545.000000	351.000000	0.000000	0.000000	0	264	0
583	49	1	1	0.000000	66.755102	65.795918	0.000000	0.000000	0	42	0
