# BUSCO version is: 5.8.2 
# The lineage dataset is: archaea_odb12 (Creation date: 2024-11-14, number of genomes: 157, number of BUSCOs: 195)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
314at2157	Missing
1798at2157	Fragmented	NODE_2185_length_35330_cov_74.210983	28937	27888	-	184.0	319
1912at2157	Missing
4116at2157	Missing
4696at2157	Complete	NODE_1804_length_894_cov_68.976509	914	3	-	284.5	264
5615at2157	Missing
5619at2157	Missing
5670at2157	Missing
5718at2157	Missing
5866at2157	Missing
5877at2157	Missing
5935at2157	Missing
5987at2157	Missing
6075at2157	Missing
6113at2157	Missing
6121at2157	Missing
6244at2157	Missing
6290at2157	Fragmented	NODE_1441_length_52686_cov_76.197510	2304	190	-	377.4	542
6295at2157	Missing
6379at2157	Missing
6533at2157	Missing
6575at2157	Complete	NODE_1847_length_31756_cov_77.062065	21908	20745	-	281.8	375
6605at2157	Complete	NODE_911_length_8401_cov_66.127365	2	1009	+	219.0	228
6874at2157	Complete	NODE_926_length_95421_cov_71.123581	80436	80867	+	170.1	137
7000at2157	Complete	NODE_1815_length_42207_cov_77.160164	37070	36609	-	159.0	148
7144at2157	Missing
7146at2157	Missing
7259at2157	Missing
7316at2157	Missing
7375at2157	Missing
7378at2157	Missing
7506at2157	Complete	NODE_2201_length_7379_cov_73.928040	3841	6471	+	519.6	777
7529at2157	Missing
7620at2157	Missing
7668at2157	Missing
7751at2157	Missing
7792at2157	Complete	NODE_1815_length_42207_cov_77.160164	38018	37083	-	391.9	299
7793at2157	Missing
7798at2157	Missing
7870at2157	Missing
7902at2157	Missing
7912at2157	Missing
7927at2157	Missing
8183at2157	Missing
8293at2157	Complete	NODE_1204_length_64359_cov_77.399834	40079	40837	+	263.3	239
8389at2157	Missing
8479at2157	Missing
8493at2157	Complete	NODE_282_length_4740_cov_68.375740	4670	3696	-	433.1	317
8643at2157	Missing
8644at2157	Missing
8656at2157	Missing
8658at2157	Fragmented	NODE_718_length_90501_cov_69.003258	50764	51774	+	85.7	190
8659at2157	Complete	NODE_926_length_95421_cov_71.123581	84725	85999	+	238.8	356
8680at2157	Complete	NODE_142_length_13006_cov_73.540901	9960	11258	+	433.9	367
8831at2157	Missing
8842at2157	Complete	NODE_1677_length_30732_cov_80.654755	29395	28967	-	113.3	131
8904at2157	Duplicated	NODE_2129_length_51924_cov_72.758377	36875	39337	+	291.5	378
8904at2157	Duplicated	NODE_1008_length_19602_cov_73.790375	18099	19448	+	270.0	378
9089at2157	Complete	NODE_1539_length_37792_cov_75.811783	15200	14559	-	101.9	158
9126at2157	Missing
9418at2157	Missing
9465at2157	Missing
9473at2157	Complete	NODE_89_length_10330_cov_70.405418	4844	5353	+	168.6	143
9593at2157	Missing
9863at2157	Missing
9883at2157	Complete	NODE_614_length_35137_cov_72.104843	4773	3952	-	207.5	246
9887at2157	Complete	NODE_1434_length_95894_cov_75.275742	34073	32847	-	215.3	423
